"Plot Title: 20396625"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20396625, SEN S/N: 20396625)","Coupler Detached (LGR S/N: 20396625)","Coupler Attached (LGR S/N: 20396625)","Stopped (LGR S/N: 20396625)","End Of File (LGR S/N: 20396625)"
1,06/17/24 09:36:12 PM,25.610,,,,
2,06/17/24 09:36:21 PM,,Logged,,,
3,06/17/24 11:36:12 PM,21.187,,,,
4,06/18/24 01:36:12 AM,21.091,,,,
5,06/18/24 03:36:12 AM,21.187,,,,
6,06/18/24 05:36:12 AM,21.282,,,,
7,06/18/24 07:36:12 AM,20.615,,,,
8,06/18/24 08:49:45 AM,,,Logged,,
9,06/18/24 08:50:39 AM,,Logged,,,
10,06/18/24 09:36:12 AM,24.545,,,,
11,06/18/24 11:36:12 AM,31.880,,,,
12,06/18/24 01:36:12 PM,37.165,,,,
13,06/18/24 03:36:12 PM,59.641,,,,
14,06/18/24 05:36:12 PM,34.058,,,,
15,06/18/24 07:36:12 PM,29.552,,,,
16,06/18/24 09:36:12 PM,29.552,,,,
17,06/18/24 11:36:12 PM,27.468,,,,
18,06/19/24 01:36:12 AM,25.319,,,,
19,06/19/24 03:36:12 AM,23.677,,,,
20,06/19/24 05:36:12 AM,22.621,,,,
21,06/19/24 07:36:12 AM,22.717,,,,
22,06/19/24 09:36:12 AM,31.983,,,,
23,06/19/24 11:36:12 AM,44.828,,,,
24,06/19/24 01:36:12 PM,34.374,,,,
25,06/19/24 03:36:12 PM,31.983,,,,
26,06/19/24 05:36:12 PM,30.154,,,,
27,06/19/24 07:36:12 PM,26.977,,,,
28,06/19/24 09:36:12 PM,25.222,,,,
29,06/19/24 11:36:12 PM,24.351,,,,
30,06/20/24 01:36:12 AM,23.677,,,,
31,06/20/24 03:36:12 AM,23.100,,,,
32,06/20/24 05:36:12 AM,22.429,,,,
33,06/20/24 07:36:12 AM,22.717,,,,
34,06/20/24 09:36:12 AM,25.902,,,,
35,06/20/24 11:36:12 AM,31.574,,,,
36,06/20/24 01:36:12 PM,34.903,,,,
37,06/20/24 03:36:12 PM,32.086,,,,
38,06/20/24 05:36:12 PM,30.356,,,,
39,06/20/24 07:36:12 PM,26.977,,,,
40,06/20/24 09:36:12 PM,24.835,,,,
41,06/20/24 11:36:12 PM,24.158,,,,
42,06/21/24 01:36:12 AM,23.581,,,,
43,06/21/24 03:36:12 AM,22.908,,,,
44,06/21/24 05:36:12 AM,22.333,,,,
45,06/21/24 07:36:12 AM,23.004,,,,
46,06/21/24 09:36:12 AM,26.390,,,,
47,06/21/24 11:36:12 AM,29.252,,,,
48,06/21/24 01:36:12 PM,29.352,,,,
49,06/21/24 03:36:12 PM,31.064,,,,
50,06/21/24 05:36:12 PM,30.054,,,,
51,06/21/24 07:36:12 PM,27.370,,,,
52,06/21/24 09:36:12 PM,25.416,,,,
53,06/21/24 11:36:12 PM,24.448,,,,
54,06/22/24 01:36:12 AM,23.966,,,,
55,06/22/24 03:36:12 AM,23.581,,,,
56,06/22/24 05:36:12 AM,23.292,,,,
57,06/22/24 07:36:12 AM,24.062,,,,
58,06/22/24 09:36:12 AM,26.390,,,,
59,06/22/24 11:36:12 AM,30.154,,,,
60,06/22/24 01:36:12 PM,35.328,,,,
61,06/22/24 03:36:12 PM,33.118,,,,
62,06/22/24 05:36:12 PM,31.574,,,,
63,06/22/24 07:36:12 PM,28.357,,,,
64,06/22/24 09:36:12 PM,26.683,,,,
65,06/22/24 11:36:12 PM,25.902,,,,
66,06/23/24 01:36:12 AM,25.513,,,,
67,06/23/24 03:36:12 AM,25.222,,,,
68,06/23/24 05:36:12 AM,24.931,,,,
69,06/23/24 07:36:12 AM,25.222,,,,
70,06/23/24 09:36:12 AM,27.764,,,,
71,06/23/24 11:36:12 AM,32.600,,,,
72,06/23/24 01:36:12 PM,36.403,,,,
73,06/23/24 03:36:12 PM,34.268,,,,
74,06/23/24 05:36:12 PM,32.911,,,,
75,06/23/24 07:36:12 PM,29.053,,,,
76,06/23/24 09:36:12 PM,27.370,,,,
77,06/23/24 11:36:12 PM,26.977,,,,
78,06/24/24 01:36:12 AM,26.683,,,,
79,06/24/24 03:36:12 AM,26.292,,,,
80,06/24/24 05:36:12 AM,26.000,,,,
81,06/24/24 07:36:12 AM,26.683,,,,
82,06/24/24 09:36:12 AM,27.764,,,,
83,06/24/24 11:36:12 AM,29.652,,,,
84,06/24/24 01:36:12 PM,31.778,,,,
85,06/24/24 03:36:12 PM,32.911,,,,
86,06/24/24 05:36:12 PM,29.652,,,,
87,06/24/24 07:36:12 PM,28.060,,,,
88,06/24/24 09:36:12 PM,26.683,,,,
89,06/24/24 11:36:12 PM,26.000,,,,
90,06/25/24 01:36:12 AM,25.513,,,,
91,06/25/24 03:36:12 AM,25.222,,,,
92,06/25/24 05:36:12 AM,25.125,,,,
93,06/25/24 07:36:12 AM,25.513,,,,
94,06/25/24 09:36:12 AM,27.665,,,,
95,06/25/24 11:36:12 AM,32.911,,,,
96,06/25/24 01:36:12 PM,36.079,,,,
97,06/25/24 03:36:12 PM,34.479,,,,
98,06/25/24 05:36:12 PM,32.911,,,,
99,06/25/24 07:36:12 PM,29.152,,,,
100,06/25/24 09:36:12 PM,26.977,,,,
101,06/25/24 11:36:12 PM,25.708,,,,
102,06/26/24 01:36:12 AM,24.931,,,,
103,06/26/24 03:36:12 AM,24.545,,,,
104,06/26/24 05:36:12 AM,24.255,,,,
105,06/26/24 07:36:12 AM,25.125,,,,
106,06/26/24 09:36:12 AM,27.567,,,,
107,06/26/24 11:36:12 AM,33.118,,,,
108,06/26/24 01:36:12 PM,37.055,,,,
109,06/26/24 03:36:12 PM,35.864,,,,
110,06/26/24 05:36:12 PM,34.374,,,,
111,06/26/24 07:36:12 PM,29.853,,,,
112,06/26/24 09:36:12 PM,27.862,,,,
113,06/26/24 11:36:12 PM,27.075,,,,
114,06/27/24 01:36:12 AM,26.488,,,,
115,06/27/24 03:36:12 AM,26.585,,,,
116,06/27/24 05:36:12 AM,26.195,,,,
117,06/27/24 07:36:12 AM,26.683,,,,
118,06/27/24 09:36:12 AM,28.357,,,,
119,06/27/24 11:36:12 AM,31.880,,,,
120,06/27/24 01:36:12 PM,34.691,,,,
121,06/27/24 03:36:12 PM,35.115,,,,
122,06/27/24 05:36:12 PM,23.388,,,,
123,06/27/24 07:36:12 PM,24.062,,,,
124,06/27/24 09:36:12 PM,24.158,,,,
125,06/27/24 11:36:12 PM,24.351,,,,
126,06/28/24 01:36:12 AM,24.255,,,,
127,06/28/24 03:36:12 AM,24.158,,,,
128,06/28/24 05:36:12 AM,24.158,,,,
129,06/28/24 07:36:12 AM,24.738,,,,
130,06/28/24 09:36:12 AM,26.879,,,,
131,06/28/24 11:36:12 AM,33.326,,,,
132,06/28/24 01:36:12 PM,35.756,,,,
133,06/28/24 03:36:12 PM,32.291,,,,
134,06/28/24 05:36:12 PM,30.963,,,,
135,06/28/24 07:36:12 PM,28.258,,,,
136,06/28/24 09:36:12 PM,26.683,,,,
137,06/28/24 11:36:12 PM,25.902,,,,
138,06/29/24 01:36:12 AM,25.513,,,,
139,06/29/24 03:36:12 AM,24.931,,,,
140,06/29/24 05:36:12 AM,24.641,,,,
141,06/29/24 07:36:12 AM,25.222,,,,
142,06/29/24 09:36:12 AM,27.961,,,,
143,06/29/24 11:36:12 AM,33.430,,,,
144,06/29/24 01:36:12 PM,35.971,,,,
145,06/29/24 03:36:12 PM,33.639,,,,
146,06/29/24 05:36:12 PM,31.880,,,,
147,06/29/24 07:36:12 PM,29.152,,,,
148,06/29/24 09:36:12 PM,27.567,,,,
149,06/29/24 11:36:12 PM,26.977,,,,
150,06/30/24 01:36:12 AM,26.585,,,,
151,06/30/24 03:36:12 AM,26.390,,,,
152,06/30/24 05:36:12 AM,25.610,,,,
153,06/30/24 07:36:12 AM,26.195,,,,
154,06/30/24 09:36:12 AM,28.357,,,,
155,06/30/24 11:36:12 AM,33.535,,,,
156,06/30/24 01:36:12 PM,35.649,,,,
157,06/30/24 03:36:12 PM,33.222,,,,
158,06/30/24 05:36:12 PM,29.853,,,,
159,06/30/24 07:36:12 PM,28.555,,,,
160,06/30/24 09:36:12 PM,27.567,,,,
161,06/30/24 11:36:12 PM,27.272,,,,
162,07/01/24 01:36:12 AM,27.075,,,,
163,07/01/24 03:36:12 AM,26.879,,,,
164,07/01/24 05:36:12 AM,26.585,,,,
165,07/01/24 07:36:12 AM,26.292,,,,
166,07/01/24 09:36:12 AM,27.173,,,,
167,07/01/24 11:36:12 AM,27.764,,,,
168,07/01/24 01:36:12 PM,29.452,,,,
169,07/01/24 03:36:12 PM,28.357,,,,
170,07/01/24 05:36:12 PM,27.764,,,,
171,07/01/24 07:36:12 PM,25.513,,,,
172,07/01/24 09:36:12 PM,24.931,,,,
173,07/01/24 11:36:12 PM,24.545,,,,
174,07/02/24 01:36:12 AM,23.773,,,,
175,07/02/24 03:36:12 AM,23.581,,,,
176,07/02/24 05:36:12 AM,22.812,,,,
177,07/02/24 07:36:12 AM,22.812,,,,
178,07/02/24 09:36:12 AM,24.835,,,,
179,07/02/24 11:36:12 AM,30.154,,,,
180,07/02/24 01:36:12 PM,34.691,,,,
181,07/02/24 03:36:12 PM,32.291,,,,
182,07/02/24 05:36:12 PM,30.659,,,,
183,07/02/24 07:36:12 PM,27.370,,,,
184,07/02/24 09:36:12 PM,25.610,,,,
185,07/02/24 11:36:12 PM,24.351,,,,
186,07/03/24 01:36:12 AM,23.773,,,,
187,07/03/24 03:36:12 AM,23.581,,,,
188,07/03/24 05:36:12 AM,23.292,,,,
189,07/03/24 07:36:12 AM,23.677,,,,
190,07/03/24 09:36:12 AM,26.390,,,,
191,07/03/24 11:36:12 AM,32.086,,,,
192,07/03/24 01:36:12 PM,35.222,,,,
193,07/03/24 03:36:12 PM,32.600,,,,
194,07/03/24 05:36:12 PM,31.166,,,,
