"Plot Title: 20376504"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20376504, SEN S/N: 20376504)","Coupler Detached (LGR S/N: 20376504)","Coupler Attached (LGR S/N: 20376504)","Stopped (LGR S/N: 20376504)","End Of File (LGR S/N: 20376504)"
1,06/17/24 09:38:57 PM,25.125,,,,
2,06/17/24 09:39:07 PM,,Logged,,,
3,06/17/24 11:38:57 PM,21.187,,,,
4,06/18/24 01:38:57 AM,21.282,,,,
5,06/18/24 03:38:57 AM,21.378,,,,
6,06/18/24 05:38:57 AM,21.473,,,,
7,06/18/24 07:38:57 AM,20.996,,,,
8,06/18/24 09:38:57 AM,25.513,,,,
9,06/18/24 11:38:57 AM,32.291,,,,
10,06/18/24 01:38:57 PM,40.530,,,,
11,06/18/24 03:38:57 PM,49.905,,,,
12,06/18/24 05:38:57 PM,34.796,,,,
13,06/18/24 07:38:57 PM,29.552,,,,
14,06/18/24 09:38:57 PM,29.652,,,,
15,06/18/24 11:38:57 PM,27.665,,,,
16,06/19/24 01:38:57 AM,25.610,,,,
17,06/19/24 03:38:57 AM,23.966,,,,
18,06/19/24 05:38:57 AM,22.908,,,,
19,06/19/24 07:38:57 AM,22.812,,,,
20,06/19/24 09:38:57 AM,32.497,,,,
21,06/19/24 11:38:57 AM,45.577,,,,
22,06/19/24 01:38:57 PM,28.754,,,,
23,06/19/24 03:38:57 PM,30.659,,,,
24,06/19/24 05:38:57 PM,29.352,,,,
25,06/19/24 07:38:57 PM,27.468,,,,
26,06/19/24 09:38:57 PM,26.000,,,,
27,06/19/24 11:38:57 PM,25.222,,,,
28,06/20/24 01:38:57 AM,24.545,,,,
29,06/20/24 03:38:57 AM,24.062,,,,
30,06/20/24 05:38:57 AM,23.484,,,,
31,06/20/24 07:38:57 AM,23.196,,,,
32,06/20/24 09:38:57 AM,24.351,,,,
33,06/20/24 11:38:57 AM,27.764,,,,
34,06/20/24 01:38:57 PM,29.853,,,,
35,06/20/24 03:38:57 PM,31.370,,,,
36,06/20/24 05:38:57 PM,29.652,,,,
37,06/20/24 07:38:57 PM,27.764,,,,
38,06/20/24 09:38:57 PM,26.195,,,,
39,06/20/24 11:38:57 PM,25.222,,,,
40,06/21/24 01:38:57 AM,24.641,,,,
41,06/21/24 03:38:57 AM,23.966,,,,
42,06/21/24 05:38:57 AM,23.484,,,,
43,06/21/24 07:38:57 AM,23.292,,,,
44,06/21/24 09:38:57 AM,24.641,,,,
45,06/21/24 11:38:57 AM,26.390,,,,
46,06/21/24 01:38:57 PM,27.370,,,,
47,06/21/24 03:38:57 PM,28.655,,,,
48,06/21/24 05:38:57 PM,28.456,,,,
49,06/21/24 07:38:57 PM,27.370,,,,
50,06/21/24 09:38:57 PM,26.097,,,,
51,06/21/24 11:38:57 PM,25.222,,,,
52,06/22/24 01:38:57 AM,24.545,,,,
53,06/22/24 03:38:57 AM,24.158,,,,
54,06/22/24 05:38:57 AM,23.869,,,,
55,06/22/24 07:38:57 AM,23.773,,,,
56,06/22/24 09:38:57 AM,25.125,,,,
57,06/22/24 11:38:57 AM,27.173,,,,
58,06/22/24 01:38:57 PM,30.255,,,,
59,06/22/24 03:38:57 PM,32.086,,,,
60,06/22/24 05:38:57 PM,30.558,,,,
61,06/22/24 07:38:57 PM,28.754,,,,
62,06/22/24 09:38:57 PM,27.370,,,,
63,06/22/24 11:38:57 PM,26.488,,,,
64,06/23/24 01:38:57 AM,26.000,,,,
65,06/23/24 03:38:57 AM,25.610,,,,
66,06/23/24 05:38:57 AM,25.319,,,,
67,06/23/24 07:38:57 AM,25.125,,,,
68,06/23/24 09:38:57 AM,26.292,,,,
69,06/23/24 11:38:57 AM,29.352,,,,
70,06/23/24 01:38:57 PM,31.370,,,,
71,06/23/24 03:38:57 PM,32.600,,,,
72,06/23/24 05:38:57 PM,31.268,,,,
73,06/23/24 07:38:57 PM,29.352,,,,
74,06/23/24 09:38:57 PM,27.961,,,,
75,06/23/24 11:38:57 PM,27.272,,,,
76,06/24/24 01:38:57 AM,26.879,,,,
77,06/24/24 03:38:57 AM,26.585,,,,
78,06/24/24 05:38:57 AM,26.195,,,,
79,06/24/24 07:38:57 AM,26.195,,,,
80,06/24/24 09:38:57 AM,26.879,,,,
81,06/24/24 11:38:57 AM,27.567,,,,
82,06/24/24 01:38:57 PM,29.053,,,,
83,06/24/24 03:38:57 PM,30.760,,,,
84,06/24/24 05:38:57 PM,29.552,,,,
85,06/24/24 07:38:57 PM,28.159,,,,
86,06/24/24 09:38:57 PM,27.272,,,,
87,06/24/24 11:38:57 PM,26.585,,,,
88,06/25/24 01:38:57 AM,26.097,,,,
89,06/25/24 03:38:57 AM,25.708,,,,
90,06/25/24 05:38:57 AM,25.513,,,,
91,06/25/24 07:38:57 AM,25.513,,,,
92,06/25/24 09:38:57 AM,26.292,,,,
93,06/25/24 11:38:57 AM,29.252,,,,
94,06/25/24 01:38:57 PM,31.268,,,,
95,06/25/24 03:38:57 PM,32.394,,,,
96,06/25/24 05:38:57 PM,30.963,,,,
97,06/25/24 07:38:57 PM,29.252,,,,
98,06/25/24 09:38:57 PM,27.764,,,,
99,06/25/24 11:38:57 PM,26.683,,,,
100,06/26/24 01:38:57 AM,25.902,,,,
101,06/26/24 03:38:57 AM,25.319,,,,
102,06/26/24 05:38:57 AM,24.931,,,,
103,06/26/24 07:38:57 AM,24.931,,,,
104,06/26/24 09:38:57 AM,26.292,,,,
105,06/26/24 11:38:57 AM,28.655,,,,
106,06/26/24 01:38:57 PM,31.064,,,,
107,06/26/24 03:38:57 PM,32.911,,,,
108,06/26/24 05:38:57 PM,31.574,,,,
109,06/26/24 07:38:57 PM,29.752,,,,
110,06/26/24 09:38:57 PM,28.258,,,,
111,06/26/24 11:38:57 PM,27.468,,,,
112,06/27/24 01:38:57 AM,26.977,,,,
113,06/27/24 03:38:57 AM,26.683,,,,
114,06/27/24 05:38:57 AM,26.390,,,,
115,06/27/24 07:38:57 AM,26.390,,,,
116,06/27/24 09:38:57 AM,27.075,,,,
117,06/27/24 11:38:57 AM,29.152,,,,
118,06/27/24 01:38:57 PM,30.356,,,,
119,06/27/24 03:38:57 PM,31.983,,,,
120,06/27/24 05:38:57 PM,22.908,,,,
121,06/27/24 07:38:57 PM,23.966,,,,
122,06/27/24 09:38:57 PM,24.351,,,,
123,06/27/24 11:38:57 PM,24.545,,,,
124,06/28/24 01:38:57 AM,24.545,,,,
125,06/28/24 03:38:57 AM,24.448,,,,
126,06/28/24 05:38:57 AM,24.448,,,,
127,06/28/24 07:38:57 AM,24.448,,,,
128,06/28/24 09:38:57 AM,25.708,,,,
129,06/28/24 11:38:57 AM,28.754,,,,
130,06/28/24 01:38:57 PM,31.166,,,,
131,06/28/24 03:38:57 PM,30.963,,,,
132,06/28/24 05:38:57 PM,29.953,,,,
133,06/28/24 07:38:57 PM,28.555,,,,
134,06/28/24 09:38:57 PM,27.272,,,,
135,06/28/24 11:38:57 PM,26.585,,,,
136,06/29/24 01:38:57 AM,26.000,,,,
137,06/29/24 03:38:57 AM,25.513,,,,
138,06/29/24 05:38:57 AM,25.125,,,,
139,06/29/24 07:38:57 AM,25.028,,,,
140,06/29/24 09:38:57 AM,26.390,,,,
141,06/29/24 11:38:57 AM,29.853,,,,
142,06/29/24 01:38:57 PM,31.880,,,,
143,06/29/24 03:38:57 PM,33.326,,,,
144,06/29/24 05:38:57 PM,31.574,,,,
145,06/29/24 07:38:57 PM,29.752,,,,
146,06/29/24 09:38:57 PM,28.258,,,,
147,06/29/24 11:38:57 PM,27.567,,,,
148,06/30/24 01:38:57 AM,27.075,,,,
149,06/30/24 03:38:57 AM,26.683,,,,
150,06/30/24 05:38:57 AM,26.195,,,,
151,06/30/24 07:38:57 AM,26.097,,,,
152,06/30/24 09:38:57 AM,27.173,,,,
153,06/30/24 11:38:57 AM,30.054,,,,
154,06/30/24 01:38:57 PM,32.291,,,,
155,06/30/24 03:38:57 PM,33.014,,,,
156,06/30/24 05:38:57 PM,30.760,,,,
157,06/30/24 07:38:57 PM,29.152,,,,
158,06/30/24 09:38:57 PM,28.258,,,,
159,06/30/24 11:38:57 PM,27.665,,,,
