,site_ID,site,ID,quad,mark,x,y,Date_Marked2015,N15,L15,size15,CT15,FR15,DT15,Notes15,Comm15,libsur15_16,consur15_16,Total.leaves.including.brown.ones2015,N.DEAD15,date16,N16,L16,size16,CT16,FR16,DT16,Notes16,Comm16,libsur16_17,consur16_17,date17,N17,L17,size17,CT17,FR17,DT17,Notes17,Comm17,libsur17_18,consur17_18,N18,L18,size18,FR18,Notes18,Comm18,include.in.19.census,N19,L19,FR19,Notes19,Comm19,libsur18_19,size19,N20,L20,FR20,FLW20,Notes20,Comm20,libsur19_20,size20,N21,L21,FR21,FLW21,Notes21,Comm21,libsur20_21,size21,N22,L22,FR22,FLW22,Notes22,Comm22,Measurer22,libsur21_22,size22,N23,L23,FR23,FLW23,Notes23,Comm23,Measurer23,libsur22_23,size23,N24,L24,FR24,FLW24,Note24,Comm24,libsur23_24,size24,Note25,N25,L25,FR25,FLW25,Comm25,libsur24_25,libsur24_25_tpry,size25,libsur15_16_tpry,libsur16_17_tpry,libsur17_18_tpry,libsur18_19_tpry,libsur19_20_tpry,libsur20_21_tpry,libsur21_22_tpry,libsur22_23_tpry,libsur23_24_tpry
1,B1_14,B1,14,2,gh,34,7,,5,10,50,2,0,,,some leaves didn't have traps,1,1,,4,,0,0,,0,8,0,dead16?,,1,1,,6,7,42,0,0,6,,fruit stalk broken off,1,1,6,19,114,0,,,Y,0,,3,,sen,1,0,2,16,6,6,,,1,32,9,13,,,,inf aborted,1,117,0,,,,,inf burn,as,1,0,2,30,,,,,gage,1,60,2,10,,,,,1,20,,0,,,,new lvs,1,1,0,1,1,1,1,1,1,1,1,1
2,B1_16,B1,16,2,op,36,24,,5,12,60,0,0,,,,1,1,,2,,1,5,5,0,0,0,,,1,1,,4,8,32,0,0,4,,,1,1,4,14,56,0,,,Y,0,,,,sen,1,0,6,14,0,0,,,1,84,3,14,,,,inf aborted,1,42,0,,,,,sen burn,as,1,0,0,,,,,sen,gage,1,0,1,7,,,,,1,7,,0,,,,new lvs,1,1,0,1,1,1,1,1,1,1,1,1
3,B1_39,B1,39,3,gh,36,13,,4,29,116,0,1,,,,1,1,4,,,6,28,168,1,0,1,,,1,1,,7,16,112,2,0,0,,,1,1,8,13,104,0,,,Y,0,,,,new lvs,1,0,4,17,0,0,,,1,68,5,52,,,,,1,260,2,6,,,,,as,1,12,7,30,0,4,,,gage,1,210,4,42,,1,,,1,168,,0,,,,,1,0,0,1,1,1,1,1,1,1,1,1
4,B1_314,B1,314,3,yd,38,10,,,,,,,,,,,,,,,,,,,,,,,1,1,,5,11,55,1,0,1,,,1,1,4,19,76,0,,added,Y,5,21,,,,1,105,10,28,0,0,,,1,280,2,55,,,,,1,110,1,5,,,,,as,1,5,2,39,,,,,gage,1,78,7,17,,,,,1,119,,0,,,,new lvs,1,1,0,,1,1,1,1,1,1,1,1
5,B1_318,B1,318,4,yh,1,40,,,,,,,,,,,,,,,,,,,,,,,,,,8,24,192,2,0,1,,new17,1,1,7,33,231,0,,,Y,6,29,3,,,1,174,,,,,mpd20,PresAlive20,1,0,,,,,dead21,PresAlive21,1,0,0,,,,,"new lvs, sen burn",as,1,0,9,25,,,,inf imm,gage,1,225,6,10,,,,,1,60,,7,29,,,,1,1,203,,,1,1,1,1,1,1,1
6,B1_75,B1,75,4,rh,25,46,,1,14,14,0,0,,,,1,1,2,,,6,13,78,0,0,0,,,1,1,,4,13,52,0,0,4,,,1,0,,,,,dead18,PresAlive18,Y,2,21,2,,,1,42,2,26,0,0,,inf herb,1,52,3,36,3,4,,,1,108,0,,,,,sen burn,as,1,0,0,,,,,sen,gage,1,0,2,19,,,,,1,38,,0,,,,new lvs,1,1,0,1,1,1,1,1,1,1,1,1
7,B1_323,B1,323,4,wd,28,48,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,28,2,0,0,,new17,1,0,,,,,dead18,PresAlive18,Y,0,,,,new lvs,1,0,"6, 12","44, 44",,2,,inf im,1,1584,5,27,6,7,,,1,135,0,,,,,sen burn,as,1,0,5,21,,,unm pl R,,gage,1,105,"3, 5","12, 8",7,2,2ros,frunc,1,96,2ros,"3,4","21,12",,,"qs25-50, no new",1,1,147,,,1,1,1,1,1,1,1
8,B1_78,B1,78,5,rh,9,45,,5,6,30,3,0,,,3 brown traps,1,1,,,,4,15,60,0,0,0,,,1,1,,2,10,20,0,0,1,,,1,1,4,18,72,0,,,Y,3,21,,,,1,63,,,,,dead20,PresAlive20,1,0,1,23,,,,,1,23,0,,,,,"sen, recently burned",tl,1,0,0,,,,,new lvs,gage,1,0,,,,,dead24,,0,,dead24,0,,,,,,,0,1,1,1,1,1,1,1,1,0
9,B1_92,B1,92,5,rh,27,1,,,,,,,,,,,,,,,1,15,15,0,7,0,,,1,1,,4,13,52,2,0,0,,stalk no fruit,1,1,5,23,115,0,,,Y,2,18,2,,,1,36,1,6,9,12,,,1,6,2,23,6,7,,,1,46,0,,,,,"sen, recently burned",tl,1,0,4,30,,,,inf imm,aml,1,120,5,18,,,,,1,90,,0,,,,new lvs,1,1,0,,1,1,1,1,1,1,1,1
10,B1_94,B1,94,5,gh,27,26,,3,2,6,1,0,,,,1,1,,,,4,6,24,3,0,1,dead16?,measured small sdl at location,1,1,,,,,,,,,tp no plant,1,1,3,5,15,0,,,Y,1,13,,,,1,13,4,21,0,0,,,1,84,6,13,,,,,1,78,0,,,,,"sen, recently burned",tl,1,0,0,,,,,new lvs,aml,1,0,2,8,,,,,1,16,,0,,,,new lvs,1,1,0,1,1,1,1,1,1,1,1,1
