"","record_type","site","startyear","TSF","TBF"
"1","landsat","B2",1986,1,NA
"2","landsat","B2",1987,2,NA
"3","landsat","B2",1988,3,NA
"4","landsat","B2",1989,4,NA
"5","landsat","B2",1990,5,NA
"6","landsat","B2",1991,6,NA
"7","landsat","B2",1992,7,NA
"8","landsat","B2",1993,8,NA
"9","landsat","B2",1994,0,8
"10","landsat","B2",1995,1,8
"11","landsat","B2",1996,2,8
"12","landsat","B2",1997,3,8
"13","landsat","B2",1998,4,8
"14","landsat","B2",1999,5,8
"15","landsat","B2",2000,6,8
"16","landsat","B2",2001,7,8
"17","landsat","B2",2002,8,8
"18","landsat","B2",2003,9,8
"19","landsat","B2",2004,10,8
"20","landsat","B2",2005,11,8
"21","landsat","B2",2006,12,8
"22","landsat","B2",2007,0,12
"23","landsat","B2",2008,1,12
"24","landsat","B2",2009,2,12
"25","landsat","B2",2010,3,12
"26","landsat","B2",2011,4,12
"27","landsat","B2",2012,5,12
"28","landsat","B2",2013,6,12
"29","landsat","B2",2014,7,12
"30","landsat","B2",2015,8,12
"31","landsat","B2",2016,9,12
"32","landsat","B2",2017,10,12
"33","landsat","B2",2018,11,12
"34","landsat","B2",2019,12,12
"35","landsat","B2",2020,13,12
"36","landsat","B2",2021,14,12
"37","landsat","B2",2022,15,12
"38","landsat","B2",2023,16,12
"39","landsat","B2",2024,NA,NA
"40","landsat","B2",2025,NA,NA
"41","landsat","CM",1986,NA,NA
"42","landsat","CM",1987,NA,NA
"43","landsat","CM",1988,NA,NA
"44","landsat","CM",1989,NA,NA
"45","landsat","CM",1990,NA,NA
"46","landsat","CM",1991,NA,NA
"47","landsat","CM",1992,NA,NA
"48","landsat","CM",1993,NA,NA
"49","landsat","CM",1994,NA,NA
"50","landsat","CM",1995,NA,NA
"51","landsat","CM",1996,0,NA
"52","landsat","CM",1997,1,NA
"53","landsat","CM",1998,2,NA
"54","landsat","CM",1999,0,2
"55","landsat","CM",2000,1,2
"56","landsat","CM",2001,2,2
"57","landsat","CM",2002,3,2
"58","landsat","CM",2003,4,2
"59","landsat","CM",2004,5,2
"60","landsat","CM",2005,6,2
"61","landsat","CM",2006,7,2
"62","landsat","CM",2007,8,2
"63","landsat","CM",2008,9,2
"64","landsat","CM",2009,10,2
"65","landsat","CM",2010,11,2
"66","landsat","CM",2011,12,2
"67","landsat","CM",2012,13,2
"68","landsat","CM",2013,14,2
"69","landsat","CM",2014,15,2
"70","landsat","CM",2015,0,15
"71","landsat","CM",2016,1,15
"72","landsat","CM",2017,2,15
"73","landsat","CM",2018,3,15
"74","landsat","CM",2019,0,3
"75","landsat","CM",2020,1,3
"76","landsat","CM",2021,0,1
"77","landsat","CM",2022,1,1
